"T","Po","Pa","U","Ff","N","Nh","VV","Td","tR","RRR"
"11.9","566.2","1.4","97","2","0.4","0.4","16","11.4","3","1"
"14.2","564.8","0.6","83","2","0.95","0.25","10","11.4","6","0"
"6.4","566.1","0.6","98","1","0.05","0.1","15","6.1","24","1"
"17.5","565.1","-1","54","6","0.5","0.5","18","8.1","6","1"
"14.7","566.1","0.3","74","4","0.95","0.5","14","10.1","3","0"
"11.4","565.8","0.6","90","2","0.95","0.4","16","9.8","24","1"
"14","565.2","0.4","75","3","0.95","0.5","15","9.6","6","1"
"13.9","564.8","-0.3","90","2","1","1","9","12.3","3","1"
"11.8","566.1","0.6","94","1","0.75","0.75","6","10.9","24","1"
"16.3","566.1","-1.1","76","3","0.75","0.4","8","12.1","6","1"
"12","566.2","0.7","93","1","0.95","0.1","15","10.9","24","1"
"12.8","564.8","-0.7","95","3","1","0.6","15","12","3","1"
"11.3","566.6","-0.2","80","2","1","0.25","16","8","6","0"
"16.1","565.9","-0.8","65","8","0.95","0.5","16","9.5","6","1"
"14.5","566.7","0.6","77","6","1","0.95","12","10.5","3","1"
"11.1","566.1","0.9","94","2","1","0.6","4","10.2","24","1"
"16.1","565.9","0.6","64","2","1","0.6","16","9.3","3","0"
"11","565.3","0.7","92","3","1","0.4","16","9.8","24","1"
"11.3","565.2","0.9","90","2","0","0.25","2.1","9.7","24","1"
"16.1","564.6","-1.3","69","3","1","0.6","15","10.4","6","1"
"13.9","565.9","0.6","81","2","1","0.25","20","10.7","3","1"
"10.5","565.3","1","94","2","1","0.25","12","9.6","24","1"
"11.4","564.6","-0.5","98","2","1","0.25","15","11.1","6","1"
"10.9","564.4","0.4","94","2","0.95","0.25","15","10","24","0"
"10.7","564.9","0.3","90","2","0.5","0.25","20","9.1","24","1"
"12.8","564.2","0.6","77","3","0.95","0.25","20","8.9","6","1"
"16","563.6","-0.8","63","5","1","0.75","16","9","3","1"
"12.7","564.9","0.6","88","3","0.95","0.25","15","10.8","24","1"
"11.6","565.2","0.5","90","2","0.95","0.25","15","10","24","1"
"17.1","565.2","0.1","60","2","0.95","0.75","16","9.2","6","1"
"11.8","565.3","0.5","80","3","1","0.5","18","8.4","24","1"
"12.1","565.7","-0.4","92","2","1","0.5","16","10.8","6","1"
"12.5","564.6","1.1","86","1","0.95","0.6","15","10.2","6","1"
"11.8","565.5","0.3","88","2","0.75","0.75","16","9.9","24","1"
"13.6","564.9","0.4","84","2","0.6","0.4","15","11","6","1"
"16.7","564","0.6","75","2","0.95","0.5","15","12.2","3","1"
"9.5","565.7","0.8","97","2","0.95","0.25","3","9.1","24","1"
"10.9","565.5","0.4","96","1","0.95","0.25","8","10.3","24","1"
"10.3","565.5","-0.6","95","1","1","0.25","20","9.6","6","1"
"12.1","566.1","1.5","92","2","1","0.5","14","10.8","3","1"
"12.8","564.6","0.6","91","2","1","0.4","14","11.4","6","1"
"10.5","565.5","0.6","92","3","0.6","0.25","15","9.3","24","1"
"13.6","564.9","1.1","93","2","1","0.6","10","12.4","6","1"
"12.1","565.7","0.8","89","2","1","0.4","15","10.3","24","1"
"11.8","565.2","0.7","88","3","0.75","0.4","16","9.9","24","1"
"12.7","565.5","1.5","94","2","1","0.4","10","11.8","3","0"
"11.1","565.2","0.8","93","2","0.95","0.25","15","10","24","1"
"10","565.5","0.9","91","2","0.95","0.1","20","8.5","24","1"
"8.5","565.5","0.8","95","2","0.95","0.6","15","7.7","24","0"
"10.6","565.5","-0.2","91","2","0.95","0.4","16","9.1","24","1"
"10.8","565.7","0.1","96","2","1","0.95","9","10.2","3","1"
"11.8","565.9","0.4","84","1","1","0.6","15","9.1","24","0"
"17.9","563.8","-0.9","54","5","1","0.4","18","8.5","3","0"
"18.4","564.7","-0.8","57","2","0.95","0.6","18","9.6","6","0"
"15.3","565.5","0.4","70","3","0.95","0.6","18","9.9","3","0"
"11.8","565.1","0.7","88","3","0.95","0.95","18","9.8","24","0"
"9.5","565.4","0.3","98","2","0.5","0.1","4.5","9.2","24","0"
"12.3","564.8","0.8","88","3","0.75","0.25","20","10.4","6","0"
"11.9","565.8","0.5","91","3","0.6","0.1","20","10.5","24","1"
"11.5","565.9","0.9","90","2","0.95","0.4","15","9.9","24","1"
"11.6","565.2","0.4","86","2","0.75","0.1","20","9.4","24","1"
"14.4","564.6","0.6","72","2","0.95","0.25","20","9.4","6","1"
"15.1","564","-1.2","70","1","1","0.4","20","9.7","3","1"
"14.3","565.2","-0.5","81","1","1","0.4","10","11.1","6","1"
"15.1","565.7","-0.5","72","1","1","0.6","16","10","3","0"
"11.5","566.2","1.8","97","1","1","0.5","9","11.1","24","1"
"11.3","566.8","0.7","86","3","0.75","0.75","12","9.1","24","1"
"12.4","565.5","0.3","84","4","1","0.4","15","9.8","6","0"
"14.6","565.2","-0.7","80","4","1","0.4","16","11.2","3","0"
"14.8","565.9","-0.5","68","5","1","0.4","16","8.8","6","1"
"13.2","566.4","0.7","87","2","1","0.5","5","11.1","3","1"
"12.4","565.7","0.9","91","2","0.95","0.6","9","10.9","24","1"
"9.8","564.8","-0.4","97","1","0.75","0.6","10","9.3","3","1"
"8.2","565.2","0.8","95","2","0.05","0.1","15","7.4","24","0"
"16","565.9","0.6","59","6","1","0.6","20","8","3","0"
"10.5","565.7","0.5","94","3","0.6","0.1","20","9.6","24","1"
"12.3","566.3","1.1","80","3","0.95","0.95","14","8.9","3","0"
"13.4","566.5","0.7","83","5","1","1","4","10.6","3","1"
"11.6","565.8","0.7","94","2","1","0.6","12","10.6","24","1"
"13.4","566.4","1.2","79","2","1","0.4","16","9.8","3","1"
"16.3","565.8","0.1","69","3","0.95","0.95","10","10.6","3","0"
"11.7","564.9","0.7","91","3","0.95","0.95","15","10.3","24","1"
"12","564.8","-0.4","95","2","0.75","0.6","12","11.2","6","1"
"14","563.8","0.9","86","2","1","0.4","12","11.6","6","0"
"11.7","565.2","1","87","2","0.4","0.1","20","9.6","24","1"
"12.6","564.2","0.9","96","1","1","0.4","15","11.9","6","1"
"10.9","565.2","0.3","98","2","0.6","0.4","0.5","10.6","24","1"
"11.4","566.1","1.3","91","2","0.5","0.25","15","10","24","1"
"10.4","566.3","0.7","92","1","0.05","0.1","20","9.2","24","1"
"12.4","564.9","0.3","85","2","0.95","0.5","14","10","6","1"
"13.8","564.6","-0.6","88","3","1","0.6","6","11.9","3","1"
"9.5","565.7","0","98","2","0.6","0.5","9","9.2","24","1"
"12.6","564.6","-0.7","86","4","0.95","0.75","9","10.3","3","0"
"10.6","565.5","-0.8","95","1","0.95","0.5","14","9.8","6","0"
"11.1","565.8","0.6","95","2","0.95","0.25","16","10.3","24","1"
"12.2","564.9","1.1","92","3","1","0.6","15","11","6","0"
"11.6","565.9","1","96","2","1","0.25","12","11","3","1"
"12.2","564.9","1.3","94","1","0.95","0.75","10","11.3","6","1"
"9.6","565.1","0.8","95","2","0.75","0.25","16","8.8","24","1"
"19.8","566","-0.9","92","1","0.5","0.1","12","18.5","3","0"
"14.9","563.8","0.9","72","3","0.75","0.5","15","9.9","6","1"
"11.6","564.8","0.5","88","3","0.6","0.25","15","9.7","24","1"
"11.4","565.9","1.3","96","1","0.95","0.6","15","10.8","3","0"
"13","564.6","1.2","90","2","0.95","0.6","12","11.4","6","1"
"11.6","565.5","0.7","96","1","1","0.5","9","10.9","24","1"
"11","565.3","-0.6","97","1","1","0.4","0.4","10.5","6","0"
"11","565.9","0.7","97","1","0.75","0.25","15","10.5","3","0"
"15.2","563.8","-1.3","85","4","0.95","0.75","12","12.7","3","0"
"16.9","565.1","-1.3","63","2","0.95","0.4","20","9.8","6","0"
"10.8","565.9","0.7","92","2","0.6","0.4","14","9.6","24","1"
"13.8","564","-0.7","84","4","1","0.5","9","11.1","3","1"
"8.3","565.5","0.6","97","1","0.95","0.6","16","7.9","24","1"
"12","564.4","0.4","84","2","0.75","0.1","20","9.4","6","1"
"15.7","564","-0.7","66","3","1","0.4","15","9.3","3","1"
"7.4","565.2","0.6","97","1","0.75","0.1","15","6.9","24","1"
"14.8","564","-0.6","86","3","1","0.4","12","12.5","3","1"
"17.2","564.6","-0.9","62","3","1","0.4","14","9.9","6","1"
"10.5","565.2","0.6","97","1","0.95","0.4","12","10","24","0"
"13","564.7","0.7","90","1","0.95","0.5","15","11.4","6","0"
"17.5","564.8","-1.3","59","3","0.95","0.75","16","9.4","6","0"
"10.5","565.7","0.4","93","2","0.5","0.1","18","9.4","24","1"
"11","565","0.4","100","2","0.95","0.25","16","11","24","1"
"9.7","564.9","0.3","98","1","0.6","0.25","15","9.4","24","1"
"11.6","565.5","0.6","89","2","0.95","0.5","15","9.9","24","1"
"11.5","565.7","0.7","94","1","1","0.25","15","10.6","24","1"
"14.8","563.6","-0.6","82","2","1","0.6","15","11.7","3","0"
"10.7","564.4","-0.6","97","2","0.75","0.1","10","10.3","3","1"
"9.5","565.3","0.5","98","2","0.95","0.25","10","9.2","24","0"
"12.2","565.2","0.6","84","2","0.95","0.25","12","9.6","24","1"
"12.6","564.6","-0.9","91","1","1","1","9","11.1","6","1"
"13.5","565.5","1","90","1","0.95","0.95","16","11.9","3","0"
"13.9","564.5","1.2","85","2","1","1","10","11.4","6","1"
"12.5","565.2","0.8","94","2","1","0.5","15","11.6","24","1"
"12.2","565.2","-0.7","94","0","0.95","0.4","15","11.3","6","1"
"12","565.9","1.2","92","1","1","0.5","12","10.7","3","1"
"11.1","565.3","0.5","94","2","0.95","0.1","18","10.2","24","1"
"10.2","564.8","-0.7","97","1","0.95","0.4","12","9.8","3","0"
"14","564.2","-0.7","80","5","1","0.4","9","10.6","3","1"
"15","564.9","-0.6","80","3","1","0.5","7","11.6","6","1"
"11.3","565.2","0.1","95","2","0.95","0.1","9","10.5","24","1"
"11.1","565.1","0.1","99","1","0.95","0.95","8","11","3","1"
"11.9","565.4","1.2","91","2","1","1","5","10.4","6","1"
"11.9","565.5","0.4","94","2","1","0.4","10","10.9","24","0"
"12.3","565.5","-0.2","92","2","0.95","0.5","16","11","6","0"
"12.7","565.7","0.9","91","1","0.95","0.25","16","11.3","3","0"
"11.5","564.9","0.7","90","1","0.5","0.1","16","9.9","24","1"
"9.6","564.8","0.4","95","1","1","0.1","16","8.8","24","0"
"11.5","564.8","1","89","1","1","0.6","16","9.8","24","0"
"12.3","565.9","0.4","80","2","1","0.1","15","8.9","24","1"
"12.5","565.8","0.9","86","2","1","1","18","10.2","24","1"
"10.6","564.9","-1","92","2","0.4","0.25","15","9.3","3","1"
"12.6","565.5","0.8","91","2","0.95","0.4","18","11.2","24","1"
"12.6","565.1","0.2","89","1","0.75","0.25","18","10.8","24","1"
"17.3","565.1","-1.6","63","4","0.95","0.5","12","10.2","6","1"
"15.5","566.7","0.3","75","1","1","0.5","8","11","3","0"
"11.5","566.4","0.5","94","1","1","0.5","5","10.6","24","1"
"13.5","566.3","0.6","83","1","0.95","0.25","15","10.6","6","1"
"11.6","566.7","0.8","93","0","0.95","0.4","10","10.5","24","1"
"14.6","565.8","1.1","84","2","0.5","0.1","16","11.9","6","0"
"19.2","564.7","-1.4","61","4","0.5","0.5","16","11.5","3","0"
"16.9","566.1","-1.1","72","5","0.95","0.5","12","11.8","6","1"
"12.6","565.5","-0.3","94","1","0.95","0.25","16","11.7","24","1"
"19.5","565.2","-1.4","58","5","0.95","0.5","18","10.9","6","1"
"16.5","566.6","0.8","70","3","0.95","0.4","15","10.9","3","1"
"12.1","565.8","0.9","98","1","1","0.6","8","11.8","24","1"
"20.6","564.6","-1.8","55","5","0.75","0.5","20","11.3","6","0"
"13.6","565.5","0.9","88","1","0.75","0.4","16","11.7","24","1"
"14.4","564.2","0.8","91","2","0.75","0.25","15","12.9","6","1"
"15.3","563.4","0.5","89","2","1","0.6","10","13.4","3","0"
"12.1","565.7","0.7","94","3","0.95","0.5","15","11.2","6","1"
"15.1","564.3","1.6","86","1","1","0.5","14","12.7","6","1"
"17.8","564","-1.7","69","5","0.75","0.5","16","12","6","1"
"12.7","564.8","-0.8","91","2","1","0.25","16","11.3","24","1"
"13.7","564","1.5","96","0","0.6","0.4","15","13.1","6","1"
"12.5","564.9","0.7","91","2","0.95","0.1","15","11.1","24","1"
"12.2","564.8","-0.7","97","2","1","0.25","12","11.7","6","1"
"13","565.5","1.5","94","4","1","0.95","7","12.1","3","0"
"17.4","564.2","-1.6","64","2","1","0.25","18","10.4","6","1"
"15","565.8","0.6","83","2","1","0.5","15","12.2","3","1"
"12.1","565.2","1","95","3","1","0.95","6","11.3","24","1"
"14.1","564.6","1.2","92","2","0.75","0.25","18","12.8","6","1"
"16.1","563.4","-0.9","76","5","1","0.6","8","11.9","3","1"
"12.6","565.5","0.9","94","1","0.95","0.25","16","11.7","24","1"
"12.4","565.2","-0.7","97","1","0.95","0.25","12","12","6","0"
"14","565.9","1.3","91","1","1","0.95","10","12.6","3","0"
"13.4","564.6","0.9","94","1","1","1","16","12.4","6","1"
"11.5","565.3","0.9","96","3","0.5","0.25","4","10.8","24","1"
"12.3","565.4","-0.9","97","9","0.95","0.95","1.5","11.9","6","1"
"11.8","566.1","0.6","92","2","0.6","0.1","18","10.5","24","1"
"11.8","566.1","-0.7","96","0","1","0.25","15","11.2","6","1"
"13.4","565.5","0.3","88","1","0.95","0.25","15","11.4","6","0"
"14.7","565.2","-1.2","77","1","1","0.25","12","10.7","3","1"
"14.7","566.4","-0.8","80","1","1","0.5","10","11.3","6","1"
"13.5","567.2","0.9","88","2","1","0.75","8","11.6","3","1"
"12.5","566.3","0.8","93","1","1","0.75","8","11.4","24","1"
"11.6","566.1","0.4","98","1","1","0.25","16","11.3","24","1"
"12.3","565.5","0.6","89","2","1","0.5","16","10.6","24","1"
"11.9","564.9","-0.6","92","0","0.95","0.4","16","10.6","3","1"
"10.5","566.1","0.8","86","4","0.4","0.1","15","8.3","24","1"
"11.2","565.7","0.5","94","2","0.75","0.25","15","10.2","24","1"
"11","565.2","0.4","86","2","0.75","0.1","20","8.7","24","0"
"15.8","563.4","-1.3","65","6","0.95","0.25","20","9.2","3","0"
"15.6","564.7","-1","66","4","0.95","0.4","15","9.3","6","0"
"15","565.7","0.8","72","7","1","0.6","15","9.9","3","0"
"16.9","564.8","-1.5","69","5","1","0.25","18","11.2","6","1"
"13.3","566.3","1.2","93","2","1","0.4","8","12.1","3","1"
"11.7","565.1","1","93","1","1","0.5","8","10.6","24","1"
"12.1","563.6","0.5","95","1","0.95","0.1","15","11.3","6","1"
"15.4","564.2","-1","85","5","1","0.6","4","12.9","6","1"
"11.9","564.6","1","97","1","1","0.75","12","11.4","24","1"
"12.1","564.8","0.8","93","1","1","0.6","12","11","24","1"
"13.1","564.8","1","85","2","0.95","0.6","18","10.6","24","0"
"13.1","564","1.5","92","2","0.95","0.4","20","11.8","6","0"
"17.6","562.5","-1.1","69","5","0.95","0.75","13","11.8","3","0"
"13.9","564","1.1","90","2","0.6","0.4","14","12.3","6","0"
"11.5","565.2","1","96","1","0.6","0.1","15","10.8","24","1"
"14.1","564.1","1.6","89","2","1","0.95","9","12.3","6","1"
"12.3","564.8","0.6","91","1","0.95","0.6","14","10.8","24","1"
"13.9","565.1","1.5","85","2","0.95","0.6","14","11.4","3","1"
"18.8","564.3","-1.8","51","7","1","0.4","20","8.4","6","1"
"15","566.1","0.9","82","1","0.95","0.25","9","11.9","3","1"
"11.6","565.2","0.6","96","2","1","0.4","5","10.9","24","1"
"11.1","564.9","-0.2","97","1","0.6","0.4","16","10.6","6","1"
"12.5","564.8","0.8","91","3","1","0.5","10","11.1","24","1"
"13","563.8","1.3","92","2","1","0.6","14","11.7","6","0"
"17.7","562.5","-1.5","69","6","0.95","0.4","14","11.9","3","0"
"12.6","564","0.6","89","3","0.75","0.25","15","10.8","24","1"
"13.4","564.8","1.7","93","2","1","0.5","10","12.2","3","0"
"13.5","564.6","0","83","2","0.95","0.25","18","10.6","24","0"
"12.3","564.6","-0.3","88","1","0.95","0.25","15","10.3","3","0"
"12.6","564.5","0.9","87","0","0.75","0.1","15","10.4","24","1"
"14.4","563.4","1.2","89","1","0.95","0.75","10","12.6","6","1"
"13.1","564.2","-0.6","88","2","1","0.4","16","11.2","6","0"
"12.9","564.8","1.4","95","1","1","0.5","14","12.1","3","0"
"14.7","563.4","0.9","82","1","0.95","0.5","12","11.7","6","0"
"16","562.5","-1.4","82","6","1","0.6","7","12.9","3","0"
"12","564.8","0.7","89","3","0.95","0.4","14","10.3","24","1"
"12.6","564.2","-1.4","89","3","1","0.6","9","10.9","24","1"
"14.4","563.1","0.9","87","1","1","1","9","12.3","6","0"
"12.6","564.4","0.6","87","1","0.75","0.25","16","10.4","24","1"
"14","563.1","-0.7","93","4","1","1","6","12.9","3","1"
"13.8","563.8","-1.6","93","1","1","0.4","10","12.6","6","1"
"12.5","564.9","0.9","85","2","0.25","0.1","16","10","24","1"
"11.8","564.8","-0.5","89","3","0.75","0.1","20","10","6","0"
"12.9","565.3","1.3","96","0","1","0.25","14","12.3","3","0"
"13.9","564","-1.5","93","4","0.75","0.5","9","12.7","6","1"
"10.6","564.9","1.2","91","2","0.25","0.25","12","9.1","24","1"
"8.5","564.9","0.6","95","1","0.6","0.1","15","7.7","24","0"
"10.5","564.7","-0.5","96","2","0.5","0.25","20","9.9","6","0"
"13.3","565.2","1.3","88","1","0.6","0.25","16","11.4","3","0"
"11.6","565.2","1","89","2","0.6","0.25","8","9.9","24","1"
"12.6","564.9","0.9","91","2","0.6","0.5","9","11.1","24","0"
"13.9","563.8","0.7","88","2","0.6","0.6","15","12","6","0"
"16.6","563.4","-1.3","78","5","1","0.5","15","12.7","3","0"
"9.7","565.5","1.2","97","1","1","0.75","5","9.3","6","0"
"14.2","564.8","1","87","4","1","0.6","15","12.1","6","0"
"11.1","565.6","1","91","1","0.95","0.1","14","9.6","24","1"
"11.7","565.9","-0.2","91","1","1","0.25","20","10.3","6","0"
"11.2","566.1","0.9","94","1","1","0.5","16","10.3","3","0"
"11.4","565.2","1.4","91","2","1","0.5","14","10","6","1"
"6.1","564.8","1.1","99","2","0.25","0.25","2","6","24","0"
"16.1","564.2","-1","62","5","1","0.5","16","8.8","6","0"
"7.5","564.2","0.8","97","1","0.25","0.25","9","7","24","1"
"11.5","564","-0.7","87","2","0.6","0.25","15","9.4","6","0"
"12.7","564.7","1.3","79","1","0.95","0.25","15","9.2","3","0"
"16.5","564.2","-1.3","71","7","0.75","0.4","15","11.2","6","1"
"14","565.5","1.1","84","2","1","0.6","10","11.4","3","1"
"13","564","1.1","87","4","1","0.4","20","10.9","6","0"
"15.5","562.9","1.1","72","4","1","0.5","18","10.4","3","0"
"12.6","564.7","0.7","94","2","1","1","2","11.7","24","1"
"10.1","565.5","1.5","91","1","0.95","0.4","15","8.7","24","1"
"13.5","564","1.2","93","2","1","0.6","8","12.3","6","0"
"12.6","565.2","-0.5","84","3","0.75","0.25","18","9.9","24","0"
"12.6","564.7","0.7","85","3","0.75","0.4","15","10.2","24","1"
"15","564","1.1","72","1","0.95","0.25","20","10","12","1"
"12.3","564.9","0.9","89","2","0.95","0.25","15","10.6","24","1"
"14.5","566","0.8","85","2","1","0.6","3","12","3","0"
"12","565.2","1.2","99","1","1","0.5","4","11.8","24","1"
"16.2","564.2","-1.7","76","3","1","0.75","8","11.9","6","1"
"12.6","565.2","0.9","91","1","1","0.6","8","11.1","24","1"
"12","564.3","-0.8","97","1","1","0.95","9","11.6","3","0"
"12.6","565.4","0.8","91","3","0.95","0.95","12","11.1","24","1"
"16.4","563.2","-1.1","72","5","1","0.75","9","11.2","3","1"
"12.3","564.4","0.7","92","2","0.95","0.5","8","11","24","0"
"11.6","564.5","-0.7","94","3","1","0.5","12","10.6","6","0"
"11.5","564","-0.7","94","3","1","0.4","16","10.6","3","0"
"11.6","563.5","0.5","94","2","0.5","0.25","15","10.6","6","1"
"12","565.2","0.6","94","2","0.75","0.5","14","11.1","24","1"
"12.3","565.4","-0.7","94","1","1","0.5","16","11.4","6","1"
"12.6","566.1","1.8","93","1","0.95","0.4","18","11.5","3","1"
"12.5","565.2","1.2","68","2","0.95","0.5","15","6.7","24","0"
"12.8","564.9","-0.3","96","2","1","0.6","10","12.2","6","0"
"11.2","564.9","0.8","98","1","1","0.75","8","10.9","24","0"
"11.7","565","-0.5","97","1","0.95","0.25","10","11.2","6","0"
"12.3","565.5","1.5","96","1","0.95","0.4","15","11.6","3","0"
"10.1","564","0.7","98","3","0.75","0.4","18","9.8","24","1"
"11.9","564.5","1.5","99","1","1","0.6","16","11.7","3","0"
"13.1","563","0.6","90","2","1","1","14","11.4","6","1"
"9.6","564.4","0.7","97","3","0.4","0.1","15","9.2","24","1"
"12.7","564","0.9","91","1","1","0.4","14","11.3","6","1"
"11.5","564.9","0.8","92","1","0.5","0.4","10","10.3","24","0"
"13.6","563.7","0.6","88","2","0.95","0.5","16","11.7","6","0"
"17.4","563.1","-1","73","2","0.75","0.5","16","12.4","3","0"
"12.6","564.6","0.6","94","1","0.95","0.5","8","11.7","24","0"
"12.8","565.1","0.7","92","2","1","1","8","11.6","24","1"
"6.1","565","0.7","99","1","0.5","0.1","20","6","24","0"
"14.7","563.9","0.8","85","2","0.95","0.4","9","12.2","6","0"
"9.6","564.3","0.9","98","0","0.75","0.1","15","9.3","24","1"
"15.2","563.2","0.4","79","2","0.75","0.4","15","11.6","6","1"
"15","562.8","-1","82","4","1","0.75","10","12","3","1"
"12.8","564.5","1","91","3","1","0.5","16","11.3","24","1"
"12","563.5","0.7","96","1","1","0.6","10","11.4","3","1"
"15.6","564","0.8","78","2","0.6","0.6","12","11.7","6","0"
"8.7","565.3","1","98","1","0.6","0.1","12","8.4","24","0"
"11","565.5","0.8","97","1","1","0.25","12","10.5","24","0"
"13.1","564.6","-0.6","82","2","0.95","0.4","20","10.1","6","0"
"13","565.2","1","89","1","0.95","0.4","16","11.2","3","0"
"10.9","565.4","1","92","2","0.95","0.1","20","9.7","24","0"
"11.3","565.7","-0.4","99","2","0.75","0.25","16","11.1","6","0"
"13.3","566.1","1.3","94","2","1","0.75","9","12.4","3","0"
"11.8","564.9","0.7","94","1","0.95","0.25","15","10.8","24","1"
"13.4","564.1","0.8","96","1","1","0.4","9","12.8","6","1"
"17.4","563.3","-0.5","67","2","1","0.6","4","11.2","3","0"
"10.9","565.1","1","93","1","0.5","0.1","7","9.8","24","1"
"13.8","564.1","0.5","93","1","1","0.5","12","12.6","6","1"
"15","563.6","-0.4","77","3","0.95","0.25","10","10.9","3","1"
"11.5","565.3","0.9","96","2","0.6","0.1","14","10.9","24","1"
"12.5","565.6","1","96","1","1","0.4","10","11.9","3","0"
"12.4","564.6","1.2","92","1","1","0.5","10","11.2","6","0"
"12.8","565.3","0.9","95","2","0.6","0.25","15","12","24","1"
"12.6","564.4","-0.5","96","1","0.95","0.4","15","12","3","1"
"13.8","564.9","-0.7","97","1","1","0.75","9","13.3","6","0"
"11.1","564.4","1","97","1","0.6","0.25","9","10.6","24","0"
"11.2","564.8","0.8","94","1","0.95","0.95","9","10.3","24","1"
"17.8","564.3","-1.3","60","2","0.95","0.6","17","9.8","6","1"
"11.8","564.3","0.8","99","2","0.6","0.4","15","11.6","24","0"
"13.5","563.9","0.8","96","1","1","0.25","8","12.9","24","0"
"16.8","562.2","-1.1","75","3","0.95","0.6","12","12.3","3","0"
"13.5","564.9","0.9","88","1","1","0.5","9","11.6","24","1"
"15.1","564.3","1","77","3","0.95","0.6","20","11.1","6","0"
"18.7","563.3","-0.8","65","3","0.5","0.5","15","11.9","3","0"
"11","565.3","0.6","90","2","0.25","0.1","15","9.4","24","1"
"12.6","564.9","1.2","81","3","0.5","0.4","12","9.4","24","0"
"13.6","563.5","1.5","91","2","0.6","0.4","10","12.1","6","0"
"17.6","562","-1.3","70","4","1","0.1","16","12.1","3","0"
"10.5","565.8","0.5","97","2","0.5","0.25","6","10","24","0"
"15.1","563.6","-0.8","81","5","0.95","0.5","8","11.8","3","0"
"12.3","564.9","1.2","96","1","1","0.25","8","11.7","24","1"
"11.5","563.8","0.8","96","1","1","0.5","8","10.9","3","1"
"12.2","564.3","0.9","97","2","0.75","0.1","0.3","11.8","24","0"
"18","564.8","-1.5","49","6","0.95","0.6","20","7","6","0"
"15.5","566.3","0.5","67","3","1","0.6","20","9.4","3","0"
"12","565.8","0.9","81","3","1","1","9","8.8","24","0"
"11","565.4","1","93","1","0.95","0.6","10","9.9","24","0"
"12.5","566.5","0.7","86","2","0.95","0.6","15","10.2","24","0"
"14.4","565.7","1.2","73","2","0.75","0.4","16","9.6","6","0"
"7","566.2","0.4","98","2","0.25","0","12","6.7","24","0"
"13.9","564.9","0.8","62","3","0.05","0.1","20","6.7","6","0"
"11.5","565.6","0.8","94","3","0.75","0.6","20","10.6","24","1"
"15.1","563.4","-0.8","89","4","1","0.5","8","13.3","3","1"
"11.6","565.8","1.1","95","1","0.95","0.6","9","10.8","24","1"
"14.4","564.4","1","82","2","1","0.6","8","11.3","6","1"
"11.6","565.6","0.7","96","2","1","0.25","4","11","24","1"
"11.7","564.9","-0.2","96","1","1","0.4","12","11","3","1"
"12.3","564.3","1.1","92","1","0.95","0.5","16","11.1","6","1"
"10.6","565.5","1","98","1","0.75","0.6","5","10.3","24","1"
"12.1","565.9","0.9","88","2","0.95","0.5","20","10.2","24","0"
"11.4","565.8","-1","92","1","1","0.6","20","10.2","6","0"
